Column1,speler_code,team_naam,meting,Staande.lengte,Zittende.lengte,Beenlengte,Zithoogte,Gewicht,Maturity.Offset,Balance.Beam.6cm,Balance.Beam.4.5cm,Balance.Beam.3cm,Balance.beam.totaal,Zijwaarts.springen.1,Zijwaarts.springen.2,Zijwaarts.springen.totaal,Zijwaarts.verplaatsen.1,Zijwaarts.verplaatsen.2,Zijwaarts.verplaatsen.totaal,Oog.hand.coordinatie.1,Oog.hand.coordinatie.2,Oog.hand.coordinatie.Totaal,X10.meter.sprint.1,X10.meter.sprint.2,X10.meter.sprint.beste,X20.meter.sprint.1,X20.meter.sprint.2,X20.meter.sprint.beste,X30.meter.sprint.1,X30.meter.sprint.2,X30.meter.sprint.beste,CoD.links.1,CoD.links.2,CoD.links.beste,CoD.rechts.1,CoD.rechts.2,CoD.rechts.beste,Vertesprong.1,Vertesprong.2,Vertesprong.beste,club_code,datum,geboortedatum
608,lczXn,Onder 16,2e meting,185.5,141.4,85.7,99.9,77.5,3.13,20.0,15.0,13.0,58.0,56.0,48.0,110.0,29.0,38.0,56.0,28.0,40.0,56.0,1.89,1.98,1.58,3.39,3.09,2.85,4.79,4.28,3.49,8.62,8.35,8.04,7.92,8.95,8.15,2.2,2.39,2.23,EoYnc,2017-04-05,2001-07-16
609,lczXn,Onder 17,1e meting,186.6,141.5,86.6,100.0,77.7,3.43,17.0,10.0,12.0,56.0,59.0,53.0,99.0,31.0,35.0,62.0,37.0,57.0,98.0,1.88,2.05,1.86,3.0,3.3,3.12,4.24,4.41,4.06,7.83,7.78,7.52,8.13,7.85,8.11,2.26,2.32,2.21,EoYnc,2017-10-05,2001-07-16
610,lczXn,Onder 17,2e meting,188.3,142.6,87.1,101.1,75.9,3.85,30.0,10.0,8.0,47.0,55.0,53.0,101.0,26.0,31.0,69.0,45.0,45.0,86.0,1.85,2.1,1.89,3.22,3.35,2.98,4.21,4.24,4.5,6.96,8.39,6.96,8.56,7.22,8.35,1.83,2.31,2.32,EoYnc,2018-04-05,2001-07-16
611,LXpD9,Onder 13,1e meting,161.5,118.1,84.9,76.6,53.4,-1.47,22.0,24.0,10.0,44.0,36.0,45.0,99.0,32.0,38.0,21.0,20.0,29.0,62.0,1.98,1.91,2.0,3.42,3.39,3.56,4.92,4.97,5.48,8.65,8.87,8.2,8.57,9.66,9.52,1.84,1.73,1.63,EoYnc,2013-10-05,2001-01-03
612,LXpD9,Onder 13,2e meting,163.0,119.9,84.6,78.4,57.9,-0.99,23.0,18.0,4.0,40.0,40.0,47.0,97.0,28.0,33.0,47.0,33.0,29.0,72.0,2.15,1.99,2.01,3.5,3.62,3.0,5.03,4.87,5.57,8.93,8.37,7.63,9.0,8.64,9.18,1.45,1.78,1.68,EoYnc,2014-04-05,2001-01-03
613,LXpD9,Onder 14,1e meting,164.0,120.2,85.3,78.7,59.8,-0.72,26.0,25.0,18.0,60.0,63.0,50.0,111.0,23.0,41.0,51.0,29.0,30.0,75.0,1.85,1.79,1.99,3.81,3.16,3.56,4.52,4.92,4.54,8.04,7.71,8.51,9.13,8.83,9.11,1.89,2.06,1.71,EoYnc,2014-10-05,2001-01-03
614,LXpD9,Onder 14,2e meting,164.5,121.4,84.6,79.9,61.0,-0.34,19.0,20.0,16.0,62.0,53.0,52.0,81.0,26.0,30.0,56.0,30.0,32.0,75.0,1.8,1.9,1.94,3.43,3.29,3.31,5.5,4.6,4.69,8.78,7.98,8.44,8.32,8.16,8.55,1.97,1.86,1.99,EoYnc,2015-04-05,2001-01-03
615,LXpD9,Onder 15,1e meting,166.1,122.4,85.3,80.9,60.2,-0.02,16.0,21.0,13.0,71.0,49.0,58.0,119.0,28.0,29.0,63.0,27.0,36.0,66.0,1.84,1.87,1.99,3.62,3.48,3.61,4.74,4.8,4.66,8.66,8.72,8.48,8.69,8.69,8.96,2.14,2.26,1.87,EoYnc,2015-10-05,2001-01-03
616,LXpD9,Onder 15,2e meting,167.5,123.4,85.6,81.9,60.7,0.33,22.0,10.0,13.0,55.0,56.0,52.0,93.0,27.0,30.0,66.0,34.0,35.0,61.0,2.05,2.01,1.98,3.35,3.38,3.29,4.2,4.36,4.87,9.31,8.87,8.04,8.59,8.47,7.6,1.98,1.86,2.2,EoYnc,2016-04-05,2001-01-03
617,LXpD9,Onder 16,1e meting,168.2,124.9,84.8,83.4,60.4,0.76,27.0,24.0,8.0,60.0,52.0,52.0,128.0,23.0,28.0,68.0,42.0,39.0,45.0,1.89,1.91,1.89,3.43,3.06,3.46,4.66,4.51,4.58,9.29,9.18,7.46,8.26,8.18,9.22,1.86,2.3,2.53,EoYnc,2016-10-05,2001-01-03
618,LXpD9,Onder 16,2e meting,169.2,125.8,84.9,84.3,61.4,1.12,18.0,20.0,13.0,49.0,59.0,66.0,115.0,30.0,23.0,75.0,36.0,31.0,64.0,1.66,1.96,1.94,3.02,3.54,3.24,4.12,4.72,4.86,8.09,7.79,8.6,8.64,7.66,8.9,1.91,2.09,1.91,EoYnc,2017-04-05,2001-01-03
619,LXpD9,Onder 17,1e meting,170.3,126.8,85.1,85.3,59.6,1.47,21.0,12.0,12.0,33.0,63.0,59.0,74.0,24.0,34.0,71.0,45.0,46.0,83.0,2.14,1.85,1.86,3.27,3.29,3.27,4.67,4.2,4.37,8.59,7.89,8.39,8.49,7.75,8.47,2.31,2.23,2.45,EoYnc,2017-10-05,2001-01-03
620,LXpD9,Onder 17,2e meting,170.5,127.3,84.7,85.8,60.3,1.79,24.0,17.0,13.0,55.0,53.0,49.0,113.0,30.0,39.0,52.0,41.0,34.0,80.0,1.8,1.9,1.58,2.81,3.23,3.21,4.11,4.81,4.32,7.92,8.6,7.84,8.18,7.04,8.43,2.08,2.76,2.26,EoYnc,2018-04-05,2001-01-03
621,LZpob,Onder 13,1e meting,159.6,119.5,81.6,78.0,42.9,-1.7,23.0,20.0,10.0,40.0,45.0,45.0,72.0,25.0,31.0,68.0,27.0,39.0,47.0,2.04,2.06,2.12,3.31,3.45,3.35,5.06,4.93,4.86,8.27,8.92,8.68,8.22,9.42,8.51,1.75,1.81,2.03,EoYnc,2013-10-05,2001-08-04
622,LZpob,Onder 13,2e meting,160.8,121.4,80.9,79.9,47.1,-1.21,21.0,33.0,14.0,67.0,50.0,42.0,101.0,26.0,29.0,56.0,33.0,26.0,59.0,2.06,2.18,2.29,3.64,3.57,3.26,4.77,5.19,4.62,8.94,8.2,9.64,9.02,9.0,9.58,1.87,1.64,1.84,EoYnc,2014-04-05,2001-08-04
623,LZpob,Onder 14,1e meting,161.9,121.9,81.5,80.4,50.6,-0.89,18.0,24.0,19.0,47.0,57.0,51.0,86.0,30.0,31.0,52.0,23.0,40.0,42.0,2.08,1.84,1.92,3.12,3.63,3.34,4.23,4.84,4.66,8.71,8.09,7.78,8.44,8.49,8.37,1.95,1.7,1.99,EoYnc,2014-10-05,2001-08-04
624,LZpob,Onder 14,2e meting,162.7,123.0,81.2,81.5,49.7,-0.55,23.0,12.0,26.0,85.0,45.0,53.0,101.0,27.0,25.0,60.0,31.0,38.0,94.0,2.15,2.11,2.01,3.17,3.26,3.56,5.2,5.01,4.94,8.94,8.67,9.13,8.92,8.32,8.87,1.87,2.28,2.01,EoYnc,2015-04-05,2001-08-04
625,LZpob,Onder 15,1e meting,163.9,123.8,81.6,82.3,49.0,-0.24,28.0,17.0,13.0,60.0,51.0,72.0,123.0,29.0,30.0,62.0,32.0,39.0,51.0,1.79,1.86,1.79,3.61,3.31,3.23,4.6,4.9,4.76,8.81,8.08,8.45,8.82,8.94,8.82,2.16,1.94,1.82,EoYnc,2015-10-05,2001-08-04
626,LZpob,Onder 15,2e meting,164.9,124.8,81.6,83.3,49.6,0.12,25.0,18.0,13.0,52.0,61.0,55.0,124.0,27.0,40.0,69.0,48.0,37.0,56.0,2.06,1.99,2.13,3.42,3.51,3.3,4.98,4.44,4.48,8.23,7.89,7.72,8.84,8.0,7.34,2.06,1.77,2.2,EoYnc,2016-04-05,2001-08-04
627,LZpob,Onder 16,1e meting,166.5,126.2,81.8,84.7,49.5,0.53,24.0,26.0,18.0,59.0,41.0,43.0,50.0,25.0,31.0,52.0,26.0,39.0,38.0,1.93,1.99,2.06,3.73,2.95,2.8,4.57,4.51,3.98,7.83,8.69,8.32,8.1,8.02,7.12,2.01,2.46,2.09,EoYnc,2016-10-05,2001-08-04
628,LZpob,Onder 16,2e meting,167.5,127.4,81.5,85.9,50.5,0.94,23.0,19.0,14.0,50.0,57.0,55.0,140.0,27.0,23.0,52.0,40.0,36.0,71.0,2.1,1.77,1.97,3.16,3.32,3.04,4.39,4.55,4.63,8.32,8.31,10.12,8.22,7.8,8.37,1.85,2.08,2.24,EoYnc,2017-04-05,2001-08-04
629,LZpob,Onder 17,1e meting,168.3,128.2,81.6,86.7,50.0,1.28,21.0,22.0,7.0,69.0,39.0,59.0,91.0,31.0,40.0,67.0,31.0,53.0,66.0,1.56,1.84,1.79,3.01,3.21,3.01,4.28,4.12,4.15,8.49,8.88,7.75,8.89,7.95,7.09,2.01,2.29,2.23,EoYnc,2017-10-05,2001-08-04
630,LZpob,Onder 17,2e meting,169.5,129.4,81.7,87.9,49.1,1.68,18.0,20.0,18.0,49.0,37.0,66.0,113.0,29.0,33.0,60.0,34.0,41.0,70.0,2.03,1.73,1.93,2.97,3.23,3.14,4.11,4.21,4.05,8.26,8.91,8.38,8.38,7.99,7.49,2.23,2.63,2.22,EoYnc,2018-04-05,2001-08-04
631,m7aN0,Onder 13,1e meting,177.6,130.3,88.8,88.8,67.4,-0.31,22.0,20.0,12.0,57.0,43.0,64.0,126.0,27.0,25.0,71.0,31.0,27.0,31.0,1.98,2.17,1.98,3.61,3.38,3.26,5.08,4.85,5.07,8.53,9.3,9.6,8.92,8.72,8.62,1.96,1.83,1.87,EoYnc,2013-10-05,2001-10-05
632,m7aN0,Onder 13,2e meting,179.3,131.8,89.0,90.3,70.8,0.14,24.0,23.0,13.0,59.0,35.0,54.0,87.0,22.0,24.0,67.0,30.0,31.0,81.0,2.17,1.99,2.03,3.54,3.42,3.56,4.76,4.78,4.47,8.37,9.42,8.6,8.91,8.89,8.9,1.75,1.47,1.89,EoYnc,2014-04-05,2001-10-05
633,m7aN0,Onder 14,1e meting,180.3,132.9,88.9,91.4,75.2,0.57,15.0,13.0,16.0,60.0,59.0,59.0,91.0,24.0,36.0,62.0,28.0,40.0,70.0,1.9,2.11,1.81,3.42,3.41,3.07,5.46,4.76,5.15,8.75,8.59,8.81,9.33,8.9,8.36,2.56,2.07,1.69,EoYnc,2014-10-05,2001-10-05
634,m7aN0,Onder 14,2e meting,180.7,133.7,88.5,92.2,73.9,0.91,21.0,17.0,7.0,38.0,45.0,51.0,107.0,28.0,23.0,49.0,37.0,42.0,51.0,2.16,2.04,1.81,3.48,3.18,3.58,4.76,4.68,4.3,8.23,8.56,8.84,8.51,8.69,8.7,1.7,1.64,2.05,EoYnc,2015-04-05,2001-10-05
635,m7aN0,Onder 15,1e meting,181.8,134.5,88.9,93.0,74.2,1.26,24.0,23.0,12.0,80.0,53.0,56.0,96.0,30.0,33.0,50.0,23.0,36.0,80.0,1.86,1.73,1.84,3.52,3.81,3.23,4.82,5.08,4.84,9.16,8.88,8.86,8.76,9.02,7.73,2.38,1.97,2.21,EoYnc,2015-10-05,2001-10-05
636,m7aN0,Onder 15,2e meting,183.4,136.2,88.7,94.7,73.5,1.73,26.0,13.0,3.0,82.0,51.0,62.0,97.0,35.0,25.0,44.0,37.0,48.0,66.0,2.02,1.94,1.98,3.11,3.29,3.42,5.02,4.86,4.19,8.62,8.41,7.77,8.61,7.72,8.75,2.04,1.88,2.0,EoYnc,2016-04-05,2001-10-05
637,m7aN0,Onder 16,1e meting,183.6,136.7,88.4,95.2,74.3,2.07,22.0,24.0,15.0,65.0,48.0,50.0,122.0,27.0,40.0,86.0,38.0,40.0,72.0,1.78,2.06,1.9,3.09,3.51,2.96,3.91,4.44,4.96,8.11,8.07,7.57,8.23,7.75,8.65,2.0,2.13,2.22,EoYnc,2016-10-05,2001-10-05
638,m7aN0,Onder 16,2e meting,184.6,137.6,88.5,96.1,73.6,2.45,19.0,17.0,14.0,44.0,56.0,63.0,127.0,20.0,34.0,62.0,28.0,30.0,78.0,1.68,1.77,2.08,3.34,3.28,3.23,4.76,4.91,3.91,8.43,8.44,7.19,8.41,7.9,7.67,2.28,1.89,2.1,EoYnc,2017-04-05,2001-10-05
639,m7aN0,Onder 17,1e meting,185.8,138.7,88.6,97.2,75.1,2.89,20.0,25.0,22.0,35.0,56.0,49.0,124.0,34.0,38.0,65.0,49.0,35.0,65.0,2.11,1.73,1.67,3.24,3.19,3.07,4.37,4.08,3.62,7.8,8.19,7.65,7.96,7.53,8.44,2.02,2.23,2.13,EoYnc,2017-10-05,2001-10-05
640,m7aN0,Onder 17,2e meting,187.5,139.9,89.1,98.4,73.7,3.31,20.0,22.0,24.0,42.0,52.0,45.0,100.0,37.0,26.0,69.0,44.0,36.0,81.0,1.64,1.96,1.89,3.03,3.31,3.06,4.63,4.27,4.35,8.11,7.98,7.75,7.79,7.97,7.59,1.92,2.49,2.47,EoYnc,2018-04-05,2001-10-05
641,m7vCB,Onder 13,1e meting,157.9,118.1,81.3,76.6,45.1,-1.82,24.0,21.0,14.0,66.0,43.0,51.0,98.0,30.0,30.0,50.0,20.0,29.0,65.0,2.13,2.07,2.0,3.17,3.5,3.73,4.32,5.07,5.12,8.71,8.51,8.51,8.28,8.99,8.4,1.86,1.71,1.82,EoYnc,2013-10-05,2001-08-06
642,m7vCB,Onder 13,2e meting,159.6,119.6,81.4,78.1,48.1,-1.4,20.0,12.0,12.0,61.0,49.0,50.0,89.0,28.0,34.0,55.0,31.0,29.0,40.0,1.83,2.21,2.44,3.59,3.39,3.68,4.8,4.84,4.62,9.13,8.97,8.66,9.25,8.6,8.19,1.71,1.84,1.98,EoYnc,2014-04-05,2001-08-06
643,m7vCB,Onder 14,1e meting,160.3,120.2,81.7,78.7,52.4,-1.06,18.0,19.0,16.0,31.0,59.0,52.0,110.0,31.0,28.0,49.0,31.0,29.0,57.0,2.04,2.0,2.09,3.47,3.41,3.26,4.79,5.04,4.88,8.53,9.26,8.52,8.95,8.94,8.61,1.75,1.89,1.64,EoYnc,2014-10-05,2001-08-06
644,m7vCB,Onder 14,2e meting,161.9,121.2,82.2,79.7,51.3,-0.75,24.0,14.0,9.0,60.0,52.0,49.0,100.0,32.0,24.0,77.0,37.0,37.0,66.0,2.06,2.03,2.04,3.27,3.22,3.28,4.46,5.14,5.23,8.09,7.8,8.69,8.12,8.6,8.4,1.9,2.05,2.06,EoYnc,2015-04-05,2001-08-06
645,m7vCB,Onder 15,1e meting,162.2,122.3,81.4,80.8,52.7,-0.37,22.0,16.0,10.0,64.0,50.0,62.0,94.0,24.0,28.0,60.0,32.0,32.0,78.0,2.03,1.76,2.02,3.14,2.96,3.22,4.77,4.95,4.43,8.76,8.94,8.83,8.41,8.92,8.58,2.04,1.75,2.18,EoYnc,2015-10-05,2001-08-06
646,m7vCB,Onder 15,2e meting,163.7,123.2,82.0,81.7,51.8,-0.05,21.0,15.0,21.0,65.0,61.0,57.0,115.0,31.0,34.0,70.0,29.0,30.0,86.0,1.81,2.25,1.94,3.48,3.09,3.21,4.64,4.52,4.71,8.78,8.47,8.02,8.36,7.97,7.89,1.78,2.05,2.15,EoYnc,2016-04-05,2001-08-06
647,m7vCB,Onder 16,1e meting,164.6,124.8,81.4,83.3,51.8,0.39,25.0,21.0,12.0,55.0,51.0,50.0,105.0,24.0,32.0,35.0,27.0,42.0,81.0,1.76,1.97,2.06,3.33,3.31,3.31,4.49,4.39,4.86,8.63,8.23,6.93,7.85,8.01,7.99,2.14,1.9,2.23,EoYnc,2016-10-05,2001-08-06
648,m7vCB,Onder 16,2e meting,165.8,126.0,81.3,84.5,52.0,0.77,20.0,20.0,17.0,59.0,62.0,64.0,125.0,29.0,25.0,70.0,41.0,39.0,94.0,1.97,1.81,2.02,3.4,3.32,3.27,4.36,4.39,4.26,7.69,8.34,6.96,8.58,8.02,8.96,2.01,2.18,1.74,EoYnc,2017-04-05,2001-08-06
649,m7vCB,Onder 17,1e meting,166.6,126.4,81.8,84.9,52.1,1.06,23.0,18.0,15.0,35.0,63.0,65.0,124.0,25.0,37.0,70.0,40.0,39.0,69.0,1.75,1.95,1.79,3.0,3.26,2.96,4.27,4.09,4.1,8.07,7.46,8.05,7.55,7.32,7.7,2.25,2.4,1.91,EoYnc,2017-10-05,2001-08-06
650,m7vCB,Onder 17,2e meting,167.0,127.7,80.8,86.2,51.3,1.48,18.0,16.0,13.0,41.0,65.0,65.0,99.0,34.0,40.0,57.0,25.0,31.0,83.0,1.83,1.88,1.79,3.22,3.24,3.03,4.66,4.14,4.41,8.52,7.55,8.14,8.11,7.53,8.4,2.38,2.21,2.39,EoYnc,2018-04-05,2001-08-06
651,M7YCH,Onder 13,1e meting,162.1,119.1,84.5,77.6,54.1,-1.47,26.0,13.0,8.0,48.0,41.0,45.0,108.0,21.0,34.0,55.0,39.0,26.0,79.0,2.01,2.12,2.17,3.57,3.58,3.63,5.26,4.84,5.05,8.9,8.99,9.08,9.47,9.22,7.92,1.43,1.6,1.77,EoYnc,2013-10-05,2001-04-25
652,M7YCH,Onder 13,2e meting,163.9,120.3,85.1,78.8,57.7,-1.09,18.0,23.0,20.0,38.0,39.0,53.0,93.0,29.0,23.0,48.0,35.0,24.0,56.0,2.26,2.01,1.96,3.72,3.51,4.07,5.03,4.78,5.1,8.68,8.83,8.61,9.19,8.57,7.92,1.99,1.83,1.61,EoYnc,2014-04-05,2001-04-25
653,M7YCH,Onder 14,1e meting,164.3,121.7,84.0,80.2,62.0,-0.64,22.0,12.0,13.0,49.0,58.0,52.0,106.0,31.0,36.0,73.0,43.0,38.0,67.0,2.24,1.9,2.0,3.42,3.32,3.46,5.19,4.42,4.66,8.28,9.19,8.03,8.3,9.02,8.81,1.84,2.1,1.91,EoYnc,2014-10-05,2001-04-25
654,M7YCH,Onder 14,2e meting,165.6,122.4,84.7,80.9,60.8,-0.36,22.0,14.0,20.0,32.0,48.0,50.0,94.0,30.0,30.0,64.0,27.0,33.0,59.0,1.86,2.23,2.1,3.62,3.23,3.43,4.71,5.13,5.25,8.63,9.18,9.48,7.9,8.74,9.17,1.78,1.56,1.92,EoYnc,2015-04-05,2001-04-25
655,M7YCH,Onder 15,1e meting,166.2,123.3,84.5,81.8,62.1,-0.01,21.0,19.0,4.0,63.0,53.0,49.0,110.0,27.0,34.0,64.0,24.0,38.0,75.0,2.01,1.87,1.93,3.22,3.46,3.29,4.39,4.4,4.74,8.05,8.62,9.34,8.42,8.18,8.05,2.04,2.07,2.17,EoYnc,2015-10-05,2001-04-25
656,M7YCH,Onder 15,2e meting,167.9,125.0,84.3,83.5,60.4,0.41,24.0,15.0,13.0,62.0,54.0,49.0,113.0,25.0,23.0,70.0,31.0,38.0,92.0,1.94,1.84,1.98,3.56,3.42,3.18,4.68,4.93,4.25,8.37,8.28,7.3,8.42,8.17,8.22,2.19,1.76,1.94,EoYnc,2016-04-05,2001-04-25
657,M7YCH,Onder 16,1e meting,169.1,125.6,84.9,84.1,61.8,0.73,23.0,25.0,17.0,39.0,49.0,44.0,74.0,29.0,36.0,62.0,37.0,53.0,79.0,1.86,1.82,1.77,3.71,3.26,3.51,4.01,4.55,5.65,7.92,8.62,6.27,8.14,7.87,9.41,2.09,2.55,1.94,EoYnc,2016-10-05,2001-04-25
658,M7YCH,Onder 16,2e meting,169.7,126.7,84.5,85.2,60.6,1.1,22.0,19.0,15.0,59.0,54.0,58.0,77.0,26.0,28.0,74.0,27.0,41.0,81.0,1.69,2.06,2.06,3.17,3.41,3.21,4.65,3.95,4.65,7.89,8.39,9.0,7.96,8.71,7.22,2.28,2.15,2.45,EoYnc,2017-04-05,2001-04-25
659,M7YCH,Onder 17,1e meting,171.0,128.1,84.4,86.6,61.9,1.54,23.0,21.0,10.0,52.0,57.0,43.0,112.0,28.0,40.0,61.0,32.0,49.0,68.0,1.97,1.88,1.82,3.67,3.42,3.31,4.62,4.47,4.48,8.24,7.49,8.19,7.55,8.24,8.29,2.11,2.15,2.38,EoYnc,2017-10-05,2001-04-25
660,M7YCH,Onder 17,2e meting,171.9,128.4,85.1,86.9,60.2,1.79,20.0,15.0,12.0,75.0,46.0,55.0,118.0,37.0,30.0,73.0,34.0,40.0,86.0,2.06,1.84,1.75,3.34,2.99,3.13,4.61,4.67,4.0,8.46,8.65,7.77,8.34,7.7,7.49,2.32,2.33,2.14,EoYnc,2018-04-05,2001-04-25
661,MBZ9t,Onder 13,1e meting,173.9,125.4,90.0,83.9,60.1,-0.7,23.0,12.0,22.0,56.0,48.0,48.0,78.0,29.0,29.0,42.0,26.0,20.0,72.0,2.02,2.17,2.12,3.93,3.63,2.95,4.79,4.79,5.44,8.65,9.09,9.26,8.48,7.9,9.37,1.69,1.7,1.87,EoYnc,2013-10-05,2001-04-01
662,MBZ9t,Onder 13,2e meting,175.4,126.9,90.0,85.4,63.9,-0.25,26.0,17.0,12.0,49.0,45.0,38.0,150.0,31.0,28.0,54.0,32.0,35.0,52.0,2.11,1.84,1.97,3.74,3.25,3.76,5.6,5.15,4.87,8.54,9.32,9.71,9.88,8.59,8.46,2.01,2.27,1.86,EoYnc,2014-04-05,2001-04-01
663,MBZ9t,Onder 14,1e meting,176.6,127.7,90.4,86.2,67.0,0.12,21.0,19.0,25.0,57.0,52.0,58.0,95.0,31.0,28.0,60.0,28.0,22.0,42.0,1.89,1.95,2.25,3.56,3.92,3.54,4.76,5.18,4.91,8.35,8.1,8.59,8.38,8.12,9.52,1.78,1.83,1.82,EoYnc,2014-10-05,2001-04-01
664,MBZ9t,Onder 14,2e meting,176.9,128.8,89.6,87.3,67.5,0.49,26.0,21.0,18.0,44.0,54.0,63.0,87.0,27.0,32.0,65.0,39.0,50.0,53.0,1.73,2.1,1.92,3.42,3.06,3.81,4.77,4.95,4.37,8.03,8.79,8.7,8.3,8.94,8.75,1.92,1.85,2.03,EoYnc,2015-04-05,2001-04-01
665,MBZ9t,Onder 15,1e meting,178.4,129.4,90.5,87.9,67.7,0.81,31.0,25.0,11.0,56.0,57.0,54.0,109.0,36.0,28.0,72.0,39.0,36.0,71.0,1.77,1.99,1.91,3.4,3.08,3.2,4.83,3.88,4.46,8.86,9.21,7.52,8.24,8.32,7.77,2.12,2.16,2.11,EoYnc,2015-10-05,2001-04-01
666,MBZ9t,Onder 15,2e meting,179.2,130.8,90.0,89.3,67.9,1.23,21.0,22.0,17.0,64.0,53.0,58.0,121.0,32.0,34.0,54.0,46.0,29.0,85.0,1.92,2.02,1.85,3.1,3.37,3.04,4.59,4.69,4.62,8.13,8.11,7.79,8.49,8.32,7.94,1.81,2.1,2.04,EoYnc,2016-04-05,2001-04-01
667,MBZ9t,Onder 16,1e meting,180.6,131.8,90.3,90.3,67.5,1.61,24.0,18.0,23.0,55.0,58.0,51.0,49.0,33.0,30.0,69.0,35.0,34.0,55.0,1.99,1.74,1.96,3.01,2.71,3.28,4.42,4.69,4.04,8.46,8.29,8.14,8.1,8.69,8.7,2.15,2.37,1.59,EoYnc,2016-10-05,2001-04-01
668,MBZ9t,Onder 16,2e meting,181.3,132.4,90.3,90.9,67.0,1.93,21.0,27.0,16.0,47.0,60.0,55.0,107.0,28.0,36.0,65.0,27.0,29.0,107.0,2.11,2.01,1.95,3.18,3.44,3.14,4.44,4.76,4.25,7.49,8.17,7.91,8.26,8.08,8.95,2.12,2.16,2.26,EoYnc,2017-04-05,2001-04-01
669,MBZ9t,Onder 17,1e meting,182.9,134.0,90.4,92.5,68.0,2.42,14.0,25.0,10.0,55.0,58.0,49.0,116.0,33.0,29.0,68.0,42.0,45.0,71.0,1.84,1.84,1.71,3.1,3.14,3.33,4.8,4.48,4.51,7.81,7.99,7.7,7.94,8.44,8.23,2.27,1.99,2.52,EoYnc,2017-10-05,2001-04-01
670,MBZ9t,Onder 17,2e meting,183.3,134.9,89.9,93.4,67.7,2.81,17.0,27.0,11.0,52.0,51.0,37.0,121.0,29.0,36.0,49.0,34.0,35.0,43.0,1.83,1.98,1.7,3.27,3.14,2.92,4.16,4.09,4.18,8.11,7.88,7.79,8.42,8.65,7.32,1.89,2.05,2.06,EoYnc,2018-04-05,2001-04-01
671,mE2U3,Onder 13,1e meting,189.8,136.3,95.0,94.8,78.7,0.59,21.0,16.0,7.0,49.0,56.0,43.0,80.0,14.0,25.0,58.0,38.0,22.0,51.0,2.05,2.08,2.1,3.67,3.37,2.97,5.24,5.35,4.48,8.94,8.2,8.66,8.66,8.21,9.45,1.82,2.32,1.8,EoYnc,2013-10-05,2001-07-10
672,mE2U3,Onder 13,2e meting,190.9,137.5,94.9,96.0,83.6,1.05,21.0,16.0,16.0,67.0,52.0,47.0,84.0,12.0,25.0,40.0,24.0,28.0,60.0,1.91,1.97,2.23,3.43,3.7,3.69,4.82,4.95,5.91,8.44,9.34,8.3,8.05,9.67,8.82,2.1,1.56,1.9,EoYnc,2014-04-05,2001-07-10
673,mE2U3,Onder 14,1e meting,192.0,138.7,94.9,97.2,86.2,1.49,23.0,11.0,4.0,67.0,41.0,47.0,114.0,26.0,30.0,61.0,35.0,32.0,65.0,1.84,1.85,2.18,3.06,3.45,3.33,4.54,5.01,4.73,8.24,8.25,8.61,8.01,8.93,7.68,1.79,1.78,1.51,EoYnc,2014-10-05,2001-07-10
674,mE2U3,Onder 14,2e meting,193.5,140.0,95.0,98.5,84.9,1.9,19.0,12.0,18.0,44.0,61.0,47.0,95.0,28.0,29.0,51.0,29.0,24.0,69.0,2.16,1.9,1.94,3.77,3.43,3.47,4.72,5.08,5.12,8.35,8.14,7.85,8.97,8.01,8.4,1.98,1.79,1.89,EoYnc,2015-04-05,2001-07-10
675,mE2U3,Onder 15,1e meting,194.5,140.9,95.1,99.4,85.7,2.3,32.0,25.0,12.0,56.0,50.0,55.0,104.0,20.0,29.0,70.0,41.0,22.0,47.0,1.96,1.94,1.85,3.24,3.39,3.57,4.79,5.15,4.78,8.28,8.56,9.07,8.1,8.42,7.84,2.11,2.31,1.88,EoYnc,2015-10-05,2001-07-10
676,mE2U3,Onder 15,2e meting,195.4,141.6,95.3,100.1,85.9,2.67,22.0,22.0,17.0,27.0,44.0,54.0,106.0,19.0,36.0,58.0,36.0,30.0,71.0,1.99,1.94,2.13,3.47,3.3,3.16,4.53,4.83,5.1,8.77,7.84,7.87,8.5,8.27,8.18,1.71,1.71,1.69,EoYnc,2016-04-05,2001-07-10
677,mE2U3,Onder 16,1e meting,196.8,143.2,95.1,101.7,85.4,3.15,27.0,29.0,12.0,57.0,56.0,54.0,78.0,34.0,34.0,64.0,49.0,21.0,71.0,1.77,1.78,1.92,3.1,3.04,3.14,4.28,4.74,4.93,8.51,8.07,7.1,7.28,8.1,8.17,2.42,2.23,2.3,EoYnc,2016-10-05,2001-07-10
678,mE2U3,Onder 16,2e meting,197.2,144.2,94.4,102.7,86.3,3.59,23.0,27.0,16.0,33.0,54.0,63.0,103.0,35.0,30.0,79.0,28.0,30.0,84.0,1.89,1.76,2.24,3.33,3.17,3.24,4.47,4.52,4.08,7.82,7.97,5.65,7.68,7.58,8.03,2.06,2.04,1.92,EoYnc,2017-04-05,2001-07-10
679,mE2U3,Onder 17,1e meting,198.0,144.5,95.0,103.0,85.7,3.91,22.0,15.0,20.0,45.0,44.0,54.0,104.0,30.0,40.0,81.0,43.0,37.0,85.0,2.08,1.8,1.83,3.17,3.05,2.89,4.23,4.63,4.46,7.69,8.05,7.89,8.46,8.08,8.0,2.4,2.17,2.19,EoYnc,2017-10-05,2001-07-10
